正确逻辑的 PacStudent Level Map 
====================================

地图组件使用规则：
===============
- 外墙 (outside wall) 和外墙角 (outside corner)：只用于最外围边界
- 内墙 (inside wall) 和内墙角 (inside corner)：用于所有内部结构
- T型连接 (T-junction)：连接外墙边界，用于隧道出入口
- 外墙是双线厚度，内墙是单线厚度

地图数组定义：
0 = 空白 (Empty)
1 = 外墙角 (outside corner) - 需要旋转
2 = 外墙 (outside wall) - 需要旋转  
3 = 内墙角 (inside corner) - 需要旋转
4 = 内墙 (inside wall) - 需要旋转
5 = 普通豆子 (pellet)
6 = 能量豆 (power pellet)
7 = T型连接 (T-junction) - 需要旋转
8 = 幽灵出口墙 (ghost exit wall)

修正版15×14地图 (行×列):
行号 |  0  1  2  3  4  5  6  7  8  9 10 11 12 13
-----|------------------------------------------
  0  |  1  2  2  2  2  2  2  7  2  2  2  2  2  1
  1  |  2  5  5  5  5  5  5  5  5  5  5  5  5  2
  2  |  2  6  3  4  4  3  5  3  4  4  4  3  6  2
  3  |  2  5  4  0  0  4  5  4  0  0  0  4  5  2
  4  |  2  5  3  4  4  3  5  3  4  4  4  3  5  2
  5  |  2  5  5  5  5  5  5  5  5  5  5  5  5  2
  6  |  2  5  3  4  4  3  5  3  3  5  3  4  4  2
  7  |  2  5  4  0  0  4  5  4  4  5  4  0  0  2
  8  |  2  5  5  5  5  5  5  4  4  5  5  5  5  2
  9  |  2  5  3  4  4  3  5  4  3  4  4  3  5  2
 10  |  2  5  4  0  0  4  5  4  4  0  0  4  5  2
 11  |  2  5  3  4  4  3  5  4  4  0  0  0  5  2
 12  |  2  5  5  5  5  5  5  3  3  0  3  4  5  8
 13  |  2  5  5  5  5  5  5  0  0  0  4  0  5  2
 14  |  1  2  2  2  2  2  2  2  2  2  2  2  2  1

详细放置指南：
=============

完整的详细放置指南（每个位置的具体旋转角度）：
=====================================================

第0行 (Y=0): 外墙边界 + T型连接
位置[0,0]: outside corner, Position(0,0,0), Rotation(0,0,0°) - 左上角
位置[0,1]: outside wall, Position(1,0,0), Rotation(0,0,0°) - 水平
位置[0,2]: outside wall, Position(2,0,0), Rotation(0,0,0°) - 水平
位置[0,3]: outside wall, Position(3,0,0), Rotation(0,0,0°) - 水平
位置[0,4]: outside wall, Position(4,0,0), Rotation(0,0,0°) - 水平
位置[0,5]: outside wall, Position(5,0,0), Rotation(0,0,0°) - 水平
位置[0,6]: outside wall, Position(6,0,0), Rotation(0,0,0°) - 水平
位置[0,7]: T-junction, Position(7,0,0), Rotation(0,0,270°) - T向上（隧道）
位置[0,8]: outside wall, Position(8,0,0), Rotation(0,0,0°) - 水平
位置[0,9]: outside wall, Position(9,0,0), Rotation(0,0,0°) - 水平
位置[0,10]: outside wall, Position(10,0,0), Rotation(0,0,0°) - 水平
位置[0,11]: outside wall, Position(11,0,0), Rotation(0,0,0°) - 水平
位置[0,12]: outside wall, Position(12,0,0), Rotation(0,0,0°) - 水平
位置[0,13]: outside corner, Position(13,0,0), Rotation(0,0,90°) - 右上角

第1行 (Y=-1): 外墙 + 豆子通道
位置[1,0]: outside wall, Position(0,-1,0), Rotation(0,0,90°) - 垂直
位置[1,1]: pellet, Position(1,-1,0), Rotation(0,0,0°)
位置[1,2]: pellet, Position(2,-1,0), Rotation(0,0,0°)
位置[1,3]: pellet, Position(3,-1,0), Rotation(0,0,0°)
位置[1,4]: pellet, Position(4,-1,0), Rotation(0,0,0°)
位置[1,5]: pellet, Position(5,-1,0), Rotation(0,0,0°)
位置[1,6]: pellet, Position(6,-1,0), Rotation(0,0,0°)
位置[1,7]: pellet, Position(7,-1,0), Rotation(0,0,0°)
位置[1,8]: pellet, Position(8,-1,0), Rotation(0,0,0°)
位置[1,9]: pellet, Position(9,-1,0), Rotation(0,0,0°)
位置[1,10]: pellet, Position(10,-1,0), Rotation(0,0,0°)
位置[1,11]: pellet, Position(11,-1,0), Rotation(0,0,0°)
位置[1,12]: pellet, Position(12,-1,0), Rotation(0,0,0°)
